#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-09-22T20:34:45 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5f6a5ec48eb2	
#INFO	-out.max=200	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=200
#-order=I
#-out.src=VIII/100/gleamegc
#-nav=cat:VIII/100&tab:{VIII/100/gleamegc}&key:source=VIII/100/gleamegc&HTTPPRM:&&-ref=VIZ5f6a5ec48eb2&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out.orig=orig&-out=Name&-out=RAJ2000&-out=DEJ2000&-out=int_flux_wide&-sort=int_flux_wide&Fintwide=>10.9&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=VIII/100/gleamegc
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VIII/100/gleamegc
#-out.orig=orig
#-out=Name
#-out=RAJ2000
#-out=DEJ2000
#-out=int_flux_wide
#Fintwide=>10.9
#

#RESOURCE=yCat_8100
#Name: VIII/100
#Title: GaLactic and Extragalactic All-sky MWA survey (Hurley-Walker+, 2016)
#Table	VIII_100_gleamegc:
#Name: VIII/100/gleamegc
#Title: GLEAM EGC catalog, version 2
#Column	Name	(A14)	GLEAM name (JHHMMSS+DDMMSS) (Name)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right Ascension J2000 (RAJ2000)	[ucd=pos.eq.ra]
#Column	DEJ2000	(F10.6)	Declination J2000 (DEJ2000)	[ucd=pos.eq.dec]
#Column	int_flux_wide	(F10.6)	Integrated flux in wide (170-231MHz) image (int_flux_wide)	[ucd=phot.flux]
GLEAM;RAJ2000;DEJ2000;Fintwide
J051250-482358;078.212357;-48.399612; 13.138855
J032123-451021;050.347630;-45.172649; 11.839135
J054924-405110;087.350533;-40.852825; 12.098296
J013411-362913;023.548635;-36.487156; 15.223774
J013332-362850;023.384743;-36.480556; 11.326577
J062707-352908;096.780914;-35.485802; 13.883532
J002430-292847;006.125636;-29.479946; 12.800106
J052257-362727;080.741081;-36.457577; 47.613247
J042940-363050;067.420143;-36.514114; 13.573302
J002549-260211;006.454782;-26.036501; 17.666073
J034631-342238;056.630573;-34.377254; 13.587742
J020012-305324;030.050053;-30.890074; 14.829072
J015035-293158;027.648842;-29.532959; 13.242726
J045514-300646;073.809814;-30.112801; 13.878118
J044437-280948;071.155449;-28.163597; 30.928867
J035140-274354;057.917320;-27.731697; 16.066866
J011651-205202;019.213554;-20.867250; 12.824503
J063633-204225;099.138710;-20.707205; 11.179255
J010817-160418;017.070896;-16.071735; 19.318535
J052139-204737;080.413025;-20.793682; 10.905270
J045523-203413;073.849167;-20.570438; 13.359024
J023743-193232;039.431751;-19.542252; 18.342995
J012027-152011;020.112600;-15.336476; 17.644152
J051032-183843;077.635300;-18.645319; 12.413865
J012730-140254;021.875265;-14.048480; 11.010467
J021536-125929;033.903378;-12.991464; 17.223434
J035129-142923;057.871532;-14.489774; 17.958591
J040748-121135;061.952080;-12.193125; 12.531046
J000622-000425;001.593615;-00.073728; 13.224719
J003820-020737;009.584585;-02.127093; 22.910006
J003704-010910;009.266866;-01.152862; 15.456370
J005734-012329;014.394592;-01.391537; 15.714544
J035231-071103;058.132305;-07.184256; 15.574673
J022054-015654;035.225224;-01.948561; 17.873552
J054141-015331;085.424133;-01.892030; 17.330376
J033414-011121;053.561089;-01.189405; 17.717863
J024240-000041;040.668743;-00.011535; 15.210199
J004050+100324;010.209675;+10.056921; 15.315518
J030826+040641;047.109253;+04.111432; 17.566643
J040724+034049;061.853275;+03.680325; 11.820647
J034330+045744;055.875381;+04.962468; 11.728271
J053129+063028;082.871452;+06.507895; 15.122750
J071302+114614;108.261093;+11.770804; 14.509571
J002025+154051;005.104468;+15.680852; 12.294323
J010850+131833;017.211702;+13.309432; 29.418407
J010855+132150;017.232773;+13.363942; 15.988372
J035857+102702;059.739212;+10.450610; 23.825205
J035852+102404;059.716679;+10.401216; 15.537073
J041340+111209;063.419235;+11.202598; 17.702410
J052110+163814;080.291885;+16.637274; 15.535083
J031000+170553;047.501095;+17.098303; 22.125238
J013623+205706;024.098970;+20.951857; 22.659809
J070208+251408;105.536530;+25.235600; 11.722521
J005550+262436;013.959011;+26.410070; 14.022823
J045643+224919;074.179344;+22.822132; 11.190436
J015711+285135;029.298252;+28.859756; 15.061769
J043704+294009;069.269493;+29.669428;183.307114
J084125-754033;130.357147;-75.675858; 19.463921
J114530-483606;176.379074;-48.601788; 11.011225
J121806-460030;184.526764;-46.008366; 11.742967
J102003-425130;155.015213;-42.858444; 19.571684
J142529-295955;216.371399;-29.998665; 12.090943
J142249-272755;215.705750;-27.465311; 14.713432
J113917-322237;174.821457;-32.377026; 10.919817
J090147-255516;135.447449;-25.921137; 25.610060
J131139-221640;197.914612;-22.277973; 34.334873
J082717-202619;126.821404;-20.438829; 14.540991
J085300-204723;133.251083;-20.789841; 11.256423
J145555-110856;223.980392;-11.149153; 15.532995
J100511-214451;151.296356;-21.747553; 12.538914
J110622-210859;166.593262;-21.149817; 10.950994
J080853-102803;122.221497;-10.467662; 17.474018
J125437-123333;193.654938;-12.559212; 25.399199
J113910-135044;174.794754;-13.845634; 16.171675
J133808-062709;204.534775;-06.452620; 13.489354
J081527-030828;123.865257;-03.141262; 16.022245
J125611-054719;194.046463;-05.788805; 16.559389
J124219-044616;190.582901;-04.771317; 13.036495
J111925-030255;169.855865;-03.048697; 11.829107
J110203-011619;165.516464;-01.271966; 13.962016
J095158-000126;147.994278;-00.024106; 17.779959
J141908+062832;214.785522;+06.475762; 40.861824
J122906+020251;187.275879;+02.047744; 74.995041
J080447+101520;121.199257;+10.255593; 11.064434
J121915+054929;184.813599;+05.824909; 24.396751
J121933+054944;184.890579;+05.828901; 21.115349
J101100+062440;152.750839;+06.411257; 15.431146
J094746+072509;146.944458;+07.419280; 32.596252
J100800+073029;152.000137;+07.508146; 20.921595
J094416+094622;146.069427;+09.772799; 13.886233
J080133+141441;120.388939;+14.244861; 13.168143
J085308+135256;133.286514;+13.882375; 14.082353
J122504+125308;186.270187;+12.885732; 15.740802
J094215+134552;145.563736;+13.764671; 14.913732
J142300+193525;215.751663;+19.590363; 15.093441
J095010+142000;147.544098;+14.333346; 14.068714
J124357+162250;190.990356;+16.380735; 13.434720
J114507+193718;176.280869;+19.621763; 18.577591
J080535+240951;121.395866;+24.164339; 18.666861
J123526+212032;188.861740;+21.342291; 14.735730
J114325+220654;175.854874;+22.115183; 15.096750
J100147+284659;150.447067;+28.783251; 31.509005
J155521-794037;238.837967;-79.677078; 14.885355
J164417-771532;251.071594;-77.259148; 21.687262
J204520-601902;311.337128;-60.317394; 19.205471
J182216-635915;275.568054;-63.987694; 18.965128
J202420-572337;306.086395;-57.393673; 14.557666
J181935-634546;274.897400;-63.762897; 35.807610
J193732-583826;294.385742;-58.640713; 13.017633
J174202-605519;265.509216;-60.922138; 12.729615
J195817-550934;299.571533;-55.159630; 20.026028
J175906-594655;269.778046;-59.781944; 23.014645
J173742-563242;264.428375;-56.545170; 20.703430
J142003-493538;215.014786;-49.594120; 11.450809
J142432-491344;216.134659;-49.228966; 13.482383
J181806-515801;274.528992;-51.967064; 22.472271
J193557-462040;293.988464;-46.344551; 61.793537
J184315-483638;280.815887;-48.610794; 15.090480
J195715-422218;299.313446;-42.371689; 14.932303
J203547-345403;308.948456;-34.901047; 22.333044
J153014-423146;232.558716;-42.529625; 32.205688
J142416-382646;216.067993;-38.446163; 11.393453
J184428-402154;281.118866;-40.365078; 13.616071
J182035-390925;275.146820;-39.156971; 14.765122
J145428-364006;223.619034;-36.668419; 14.273980
J183059-360229;277.747101;-36.041451; 30.436060
J191548-265257;288.950043;-26.882534; 11.981875
J160512-285908;241.301956;-28.985600; 13.801608
J133549-335247;203.957199;-33.879902; 15.985985
J190249-232949;285.705750;-23.497133; 18.277397
J194115-152428;295.314087;-15.407950; 21.449728
J195215+023032;298.064453;+02.509153; 21.673410
J204812+070127;312.051300;+07.024272; 11.179641
J172031-005845;260.130005;-00.979246;197.161392
J160445+011751;241.188599;+01.297713; 23.306278
J160231+015752;240.630203;+01.964636; 30.249781
J202208+100115;305.536194;+10.020949; 13.446158
J151644+070118;229.185318;+07.021704; 42.129284
J151059+075145;227.748795;+07.862761; 17.880180
J180506+110132;271.277313;+11.025785; 11.759574
J212344+250412;320.935394;+25.070267; 48.543949
J183825+171154;279.607849;+17.198391; 22.462980
J211707+250121;319.282043;+25.022713; 27.265221
J214411+281024;326.048096;+28.173462; 16.114321
J152005+201602;230.022354;+20.267269; 11.358170
J154948+212543;237.453445;+21.428720; 11.461167
J153150+240244;232.959259;+24.045801; 11.944126
J150459+260027;226.246246;+26.007702; 47.689602
J151340+260718;228.417480;+26.121796; 17.563745

